Time,Value
12:33:46,12998
12:33:46,9965
12:33:46,3592
12:33:46,-2527
12:33:46,-6109
12:33:46,-10336
12:33:46,-9254
12:33:46,1792
12:33:46,14906
12:33:46,22544
12:33:46,28219
12:33:46,36933
12:33:46,41909
12:33:46,44017
12:33:46,43731
12:33:46,32081
12:33:46,21053
12:33:46,10881
12:33:46,4244
12:33:46,7995
12:33:46,3343
12:33:46,-1505
12:33:46,-6362
12:33:46,-9146
12:33:46,1857
12:33:46,14335
12:33:46,21158
12:33:46,27119
12:33:46,32563
12:33:46,29624
12:33:46,26793
12:33:46,22660
12:33:46,10423
12:33:46,-1003
12:33:46,-2003
12:33:47,4568
12:33:47,6533
12:33:47,5348
12:33:47,5557
12:33:47,4574
12:33:47,7393
12:33:47,15927
12:33:47,22825
12:33:47,28349
12:33:47,32909
12:33:47,35949
12:33:47,32964
12:33:47,29785
12:33:47,30836
12:33:47,25722
12:33:47,21401
12:33:47,22065
12:33:47,20893
12:33:47,14741
12:33:47,8746
12:33:47,6671
12:33:47,5363
12:33:47,10221
12:33:47,18037
12:33:47,16204
12:33:47,13697
12:33:47,18079
12:33:47,18621
12:33:47,19281
12:33:47,25021
12:33:47,28520
12:33:47,26103
12:33:47,20418
12:33:47,14216
12:33:47,6564
12:33:47,-730
12:33:47,-3720
12:33:47,-1752
12:33:47,4370
12:33:47,14796
12:33:47,23521
12:33:47,27558
12:33:47,35780
12:33:47,47752
12:33:47,54116
12:33:47,53822
12:33:47,48151
12:33:47,31952
12:33:47,9789
12:33:47,-1726
12:33:47,-3209
12:33:47,-8930
12:33:47,-17407
12:33:47,-14464
12:33:47,2187
12:33:47,11518
12:33:47,7852
12:33:47,14933
12:33:47,24529
12:33:47,24444
12:33:47,27035
12:33:47,28378
12:33:47,22925
12:33:47,21841
12:33:47,22476
12:33:47,25312
12:33:47,34392
12:33:47,33954
12:33:47,30574
12:33:47,27457
12:33:47,25308
12:33:47,22722
12:33:47,23550
12:33:47,21348
12:33:47,-3355
12:33:47,-15605
12:33:47,-6324
12:33:47,3155
12:33:47,6020
12:33:47,5511
12:33:47,13198
12:33:47,16921
12:33:47,22301
12:33:47,33802
12:33:47,36262
12:33:47,33538
12:33:47,31536
12:33:47,30777
12:33:47,27069
12:33:47,21019
12:33:47,15760
12:33:47,13725
12:33:47,14287
12:33:47,6570
12:33:47,-7185
12:33:47,-9064
12:33:47,163
12:33:47,7803
12:33:47,13452
12:33:47,18575
12:33:48,18159
12:33:48,13106
12:33:48,13341
12:33:48,19026
12:33:48,18634
12:33:48,13332
12:33:48,12289
12:33:48,9662
12:33:48,3903
12:33:48,1716
12:33:48,585
12:33:48,395
12:33:48,2350
12:33:48,4728
12:33:48,8290
12:33:48,13686
12:33:48,22509
12:33:48,30723
12:33:48,35401
12:33:48,38626
12:33:48,39012
12:33:48,36543
12:33:48,34114
12:33:48,31085
12:33:48,23163
12:33:48,13495
12:33:48,7511
12:33:48,3327
12:33:48,166
12:33:48,1562
12:33:48,7621
12:33:48,14094
12:33:48,20356
12:33:48,26475
12:33:48,27338
12:33:48,23835
12:33:48,20839
12:33:48,18711
12:33:48,16550
12:33:48,15820
12:33:48,15775
12:33:48,9748
12:33:48,2094
12:33:48,-615
12:33:48,561
12:33:48,8654
12:33:48,20789
